Label,Prob,STD,n,0 Sleep Apnea,,
Quality of Sleep=9|Sleep Disorder=2,0.133750946,0.021107652,78,,,
Quality of Sleep=9|Sleep Disorder=0,0.004485748,0.010445937,77,,,
Physical Activity Level=40|Sleep Disorder=1,0.013909036,0.093580766,219,,,
Physical Activity Level=40|Sleep Disorder=2,0.004806633,0.240003818,78,,,
Physical Activity Level=40|Sleep Disorder=0,0.031350986,0.161324746,77,,,
Physical Activity Level=60|Sleep Disorder=1,0.019230799,0.093580766,219,,,
Physical Activity Level=60|Sleep Disorder=2,0.017168683,0.240003818,78,,,
Physical Activity Level=60|Sleep Disorder=0,0.012214333,0.161324746,77,,,
Physical Activity Level=30|Sleep Disorder=1,0.008276487,0.093580766,219,,,
Physical Activity Level=30|Sleep Disorder=2,0.001657698,0.240003818,78,,,
Physical Activity Level=30|Sleep Disorder=0,0.0190006,0.161324746,77,,,
Physical Activity Level=70|Sleep Disorder=1,0.015821463,0.093580766,219,,,
Physical Activity Level=70|Sleep Disorder=2,0.021149375,0.240003818,78,,,
Physical Activity Level=70|Sleep Disorder=0,0.002884061,0.161324746,77,,,
Physical Activity Level=50|Sleep Disorder=1,0.018422453,0.093580766,219,,,
Physical Activity Level=50|Sleep Disorder=2,0.01047735,0.240003818,78,,,
Physical Activity Level=50|Sleep Disorder=0,0.027057356,0.161324746,77,,,
Physical Activity Level=80|Sleep Disorder=1,0.010258772,0.093580766,219,,,
Physical Activity Level=80|Sleep Disorder=2,0.01958543,0.240003818,78,,,
Physical Activity Level=80|Sleep Disorder=0,0.000356196,0.161324746,77,,,
Physical Activity Level=90|Sleep Disorder=1,0.005242562,0.093580766,219,,,
Physical Activity Level=90|Sleep Disorder=2,0.013634642,0.240003818,78,,,
Physical Activity Level=90|Sleep Disorder=0,2.30E-05,0.161324746,77,,,
Stress Level=6|Sleep Disorder=1,0.214700702,0.007266991,219,,,
Stress Level=6|Sleep Disorder=2,0.169217523,0.029918494,78,,,
Stress Level=6|Sleep Disorder=0,0.271587994,0.019001942,77,,,
Stress Level=8|Sleep Disorder=1,0.048428822,0.007266991,219,,,
Stress Level=8|Sleep Disorder=2,0.103701737,0.029918494,78,,,
Stress Level=8|Sleep Disorder=0,0.094512361,0.019001942,77,,,
Stress Level=7|Sleep Disorder=1,0.1242234,0.007266991,219,,,
Stress Level=7|Sleep Disorder=2,0.145207585,0.029918494,78,,,
Stress Level=7|Sleep Disorder=0,0.202363431,0.019001942,77,,,
Stress Level=4|Sleep Disorder=1,0.196193758,0.007266991,219,,,
Stress Level=4|Sleep Disorder=2,0.132469435,0.029918494,78,,,
Stress Level=4|Sleep Disorder=0,0.120468353,0.019001942,77,,,
Stress Level=3|Sleep Disorder=1,0.103730592,0.007266991,219,,,
Stress Level=3|Sleep Disorder=2,0.088987704,0.029918494,78,,,
Stress Level=3|Sleep Disorder=0,0.039815928,0.019001942,77,,,
Stress Level=5|Sleep Disorder=1,0.250031114,0.007266991,219,,,
Stress Level=5|Sleep Disorder=2,0.164117211,0.029918494,78,,,
Stress Level=5|Sleep Disorder=0,0.228467386,0.019001942,77,,,
BMI Category=3|Sleep Disorder=1,0.004035212,0.003948347,219,,,
BMI Category=3|Sleep Disorder=2,0.453666763,0.010432551,78,,,
BMI Category=3|Sleep Disorder=0,0.399420732,0.011924953,77,,,
BMI Category=0|Sleep Disorder=1,0.427455485,0.003948347,219,,,
BMI Category=0|Sleep Disorder=2,0.002167635,0.010432551,78,,,
BMI Category=0|Sleep Disorder=0,0.007336433,0.011924953,77,,,
BMI Category=2|Sleep Disorder=1,0.072732139,0.003948347,219,,,
BMI Category=2|Sleep Disorder=2,0.345953488,0.010432551,78,,,
BMI Category=2|Sleep Disorder=0,0.345048073,0.011924953,77,,,
BMI Category=1|Sleep Disorder=1,0.344139518,0.003948347,219,,,
BMI Category=1|Sleep Disorder=2,0.058268533,0.010432551,78,,,
BMI Category=1|Sleep Disorder=0,0.091039751,0.011924953,77,,,
Blood Pressure=2|Sleep Disorder=1,0.846627248,0.002006212,219,,,
